[c5_3_4_4_4_4] n=19 m=99 cap=51 | 210 K5s, 1876 K3,3s, 15 sym generators, 18399 clauses, propagator check_at=9
    ... {'checks': 50000, 'confl': 13122, 'model_rej': 0} 111s
    ... {'checks': 100000, 'confl': 26048, 'model_rej': 0} 209s
    ... {'checks': 150000, 'confl': 37754, 'model_rej': 0} 307s
    ... {'checks': 200000, 'confl': 49403, 'model_rej': 0} 400s
    ... {'checks': 250000, 'confl': 57487, 'model_rej': 0} 473s
    ... {'checks': 300000, 'confl': 65265, 'model_rej': 0} 540s
    ... {'checks': 350000, 'confl': 74857, 'model_rej': 0} 619s
    ... {'checks': 400000, 'confl': 84759, 'model_rej': 0} 697s
    ... {'checks': 450000, 'confl': 94848, 'model_rej': 0} 781s
    ... {'checks': 500000, 'confl': 104276, 'model_rej': 0} 857s
    ... {'checks': 550000, 'confl': 113642, 'model_rej': 0} 931s
    ... {'checks': 600000, 'confl': 122910, 'model_rej': 0} 1007s
    ... {'checks': 650000, 'confl': 131537, 'model_rej': 0} 1081s
    ... {'checks': 700000, 'confl': 139116, 'model_rej': 0} 1145s
    ... {'checks': 750000, 'confl': 144304, 'model_rej': 0} 1193s
    ... {'checks': 800000, 'confl': 149803, 'model_rej': 0} 1243s
    ... {'checks': 850000, 'confl': 154853, 'model_rej': 0} 1291s
    ... {'checks': 900000, 'confl': 161180, 'model_rej': 0} 1349s
    ... {'checks': 950000, 'confl': 168045, 'model_rej': 0} 1410s
    ... {'checks': 1000000, 'confl': 175771, 'model_rej': 0} 1473s
    ... {'checks': 1050000, 'confl': 182497, 'model_rej': 0} 1532s
    ... {'checks': 1100000, 'confl': 187621, 'model_rej': 0} 1581s
    ... {'checks': 1150000, 'confl': 194626, 'model_rej': 0} 1640s
    ... {'checks': 1200000, 'confl': 200060, 'model_rej': 0} 1692s
    ... {'checks': 1250000, 'confl': 206882, 'model_rej': 0} 1751s
    ... {'checks': 1300000, 'confl': 212933, 'model_rej': 0} 1806s
    ... {'checks': 1350000, 'confl': 218549, 'model_rej': 0} 1857s
    ... {'checks': 1400000, 'confl': 223792, 'model_rej': 0} 1906s
    ... {'checks': 1450000, 'confl': 230017, 'model_rej': 0} 1963s
    ... {'checks': 1500000, 'confl': 234665, 'model_rej': 0} 2009s
    ... {'checks': 1550000, 'confl': 239325, 'model_rej': 0} 2053s
    ... {'checks': 1600000, 'confl': 244769, 'model_rej': 0} 2104s
    ... {'checks': 1650000, 'confl': 249653, 'model_rej': 0} 2151s
    ... {'checks': 1700000, 'confl': 255074, 'model_rej': 0} 2204s
    ... {'checks': 1750000, 'confl': 259952, 'model_rej': 0} 2254s
    ... {'checks': 1800000, 'confl': 264110, 'model_rej': 0} 2300s
    ... {'checks': 1850000, 'confl': 268458, 'model_rej': 0} 2348s
    ... {'checks': 1900000, 'confl': 273922, 'model_rej': 0} 2402s
    ... {'checks': 1950000, 'confl': 278561, 'model_rej': 0} 2452s
    ... {'checks': 2000000, 'confl': 282288, 'model_rej': 0} 2495s
    ... {'checks': 2050000, 'confl': 287256, 'model_rej': 0} 2542s
    ... {'checks': 2100000, 'confl': 292511, 'model_rej': 0} 2605s
    ... {'checks': 2150000, 'confl': 298653, 'model_rej': 0} 2666s
    ... {'checks': 2200000, 'confl': 304081, 'model_rej': 0} 2721s
    ... {'checks': 2250000, 'confl': 308239, 'model_rej': 0} 2769s
    ... {'checks': 2300000, 'confl': 312576, 'model_rej': 0} 2818s
    ... {'checks': 2350000, 'confl': 316534, 'model_rej': 0} 2866s
    ... {'checks': 2400000, 'confl': 320095, 'model_rej': 0} 2908s
    ... {'checks': 2450000, 'confl': 324024, 'model_rej': 0} 2955s
    ... {'checks': 2500000, 'confl': 327904, 'model_rej': 0} 2998s
    ... {'checks': 2550000, 'confl': 331388, 'model_rej': 0} 3038s
    ... {'checks': 2600000, 'confl': 333936, 'model_rej': 0} 3070s
    ... {'checks': 2650000, 'confl': 338748, 'model_rej': 0} 3123s
    ... {'checks': 2700000, 'confl': 342996, 'model_rej': 0} 3171s
    ... {'checks': 2750000, 'confl': 346748, 'model_rej': 0} 3213s
    ... {'checks': 2800000, 'confl': 350877, 'model_rej': 0} 3258s
    ... {'checks': 2850000, 'confl': 354648, 'model_rej': 0} 3300s
    ... {'checks': 2900000, 'confl': 359873, 'model_rej': 0} 3351s
    ... {'checks': 2950000, 'confl': 363876, 'model_rej': 0} 3394s
    ... {'checks': 3000000, 'confl': 367877, 'model_rej': 0} 3436s
    ... {'checks': 3050000, 'confl': 370957, 'model_rej': 0} 3483s
    ... {'checks': 3100000, 'confl': 373467, 'model_rej': 0} 3518s
    ... {'checks': 3150000, 'confl': 377000, 'model_rej': 0} 3561s
    ... {'checks': 3200000, 'confl': 381279, 'model_rej': 0} 3604s
