# started Sun Aug 30 10:50:03 PDT 2026 — sym-on, nice 15, caffeinate, mem-watchdog 12%
# solver pid 57818
# 13 generators validated (12 transpositions + reflection)
# q18 SYM-ON run — git af6ab9d1ffeab20d53b6f35ccb711624f22e50ad
# input sha256 a755ab950315c52741c75dff92bd282bfbc8a800cdf6eca1477214d7714a0836
[q18-cone-c5-44333-symon] n=18 m=95 cap=48 | 243 K5s, 2502 K3,3s, 13 sym generators, 18205 clauses, propagator check_at=9
    ... {'checks': 50000, 'confl': 12402, 'model_rej': 0} 110s
    ... {'checks': 100000, 'confl': 23314, 'model_rej': 0} 206s
    ... {'checks': 150000, 'confl': 34552, 'model_rej': 0} 308s
    ... {'checks': 200000, 'confl': 45489, 'model_rej': 0} 412s
    ... {'checks': 250000, 'confl': 53956, 'model_rej': 0} 507s
    ... {'checks': 300000, 'confl': 64065, 'model_rej': 0} 604s
    ... {'checks': 350000, 'confl': 73462, 'model_rej': 0} 692s
    ... {'checks': 400000, 'confl': 82508, 'model_rej': 0} 780s
    ... {'checks': 450000, 'confl': 94571, 'model_rej': 0} 891s
    ... {'checks': 500000, 'confl': 103410, 'model_rej': 0} 971s
    ... {'checks': 550000, 'confl': 110078, 'model_rej': 0} 1037s
    ... {'checks': 600000, 'confl': 117965, 'model_rej': 0} 1117s
    ... {'checks': 650000, 'confl': 125674, 'model_rej': 0} 1190s
    ... {'checks': 700000, 'confl': 132974, 'model_rej': 0} 1261s
    ... {'checks': 750000, 'confl': 140213, 'model_rej': 0} 1334s
    ... {'checks': 800000, 'confl': 146294, 'model_rej': 0} 1400s
    ... {'checks': 850000, 'confl': 152757, 'model_rej': 0} 1468s
    ... {'checks': 900000, 'confl': 159692, 'model_rej': 0} 1540s
    ... {'checks': 950000, 'confl': 164815, 'model_rej': 0} 1598s
    ... {'checks': 1000000, 'confl': 170943, 'model_rej': 0} 1663s
    ... {'checks': 1050000, 'confl': 178634, 'model_rej': 0} 1735s
    ... {'checks': 1100000, 'confl': 184881, 'model_rej': 0} 1798s
    ... {'checks': 1150000, 'confl': 194697, 'model_rej': 0} 1887s
    ... {'checks': 1200000, 'confl': 201912, 'model_rej': 0} 1956s
    ... {'checks': 1250000, 'confl': 205979, 'model_rej': 0} 2004s
    ... {'checks': 1300000, 'confl': 212408, 'model_rej': 0} 2071s
    ... {'checks': 1350000, 'confl': 218726, 'model_rej': 0} 2134s
    ... {'checks': 1400000, 'confl': 222129, 'model_rej': 0} 2181s
    ... {'checks': 1450000, 'confl': 225696, 'model_rej': 0} 2225s
    ... {'checks': 1500000, 'confl': 231598, 'model_rej': 0} 2283s
    ... {'checks': 1550000, 'confl': 236096, 'model_rej': 0} 2335s
    ... {'checks': 1600000, 'confl': 240353, 'model_rej': 0} 2386s
    ... {'checks': 1650000, 'confl': 248793, 'model_rej': 0} 2460s
    ... {'checks': 1700000, 'confl': 252404, 'model_rej': 0} 2505s
    ... {'checks': 1750000, 'confl': 258409, 'model_rej': 0} 2568s
    ... {'checks': 1800000, 'confl': 264395, 'model_rej': 0} 2632s
    ... {'checks': 1850000, 'confl': 271237, 'model_rej': 0} 2699s
    ... {'checks': 1900000, 'confl': 276712, 'model_rej': 0} 2754s
    ... {'checks': 1950000, 'confl': 281399, 'model_rej': 0} 2806s
    ... {'checks': 2000000, 'confl': 285985, 'model_rej': 0} 2861s
    ... {'checks': 2050000, 'confl': 290344, 'model_rej': 0} 2908s
    ... {'checks': 2100000, 'confl': 292653, 'model_rej': 0} 2944s
    ... {'checks': 2150000, 'confl': 296453, 'model_rej': 0} 2993s
    ... {'checks': 2200000, 'confl': 300450, 'model_rej': 0} 3044s
    ... {'checks': 2250000, 'confl': 303367, 'model_rej': 0} 3084s
    ... {'checks': 2300000, 'confl': 308355, 'model_rej': 0} 3140s
    ... {'checks': 2350000, 'confl': 312994, 'model_rej': 0} 3196s
    ... {'checks': 2400000, 'confl': 317576, 'model_rej': 0} 3253s
    ... {'checks': 2450000, 'confl': 321292, 'model_rej': 0} 3303s
    ... {'checks': 2500000, 'confl': 324415, 'model_rej': 0} 3346s
    ... {'checks': 2550000, 'confl': 327059, 'model_rej': 0} 3386s
    ... {'checks': 2600000, 'confl': 329115, 'model_rej': 0} 3420s
    ... {'checks': 2650000, 'confl': 333301, 'model_rej': 0} 3472s
    ... {'checks': 2700000, 'confl': 338031, 'model_rej': 0} 3526s
    ... {'checks': 2750000, 'confl': 342371, 'model_rej': 0} 3580s
    ... {'checks': 2800000, 'confl': 346943, 'model_rej': 0} 3636s
    ... {'checks': 2850000, 'confl': 352410, 'model_rej': 0} 3694s
    ... {'checks': 2900000, 'confl': 355148, 'model_rej': 0} 3732s
    ... {'checks': 2950000, 'confl': 359514, 'model_rej': 0} 3780s
    ... {'checks': 3000000, 'confl': 365168, 'model_rej': 0} 3839s
    ... {'checks': 3050000, 'confl': 368944, 'model_rej': 0} 3885s
    ... {'checks': 3100000, 'confl': 375441, 'model_rej': 0} 3953s
    ... {'checks': 3150000, 'confl': 381815, 'model_rej': 0} 4017s
    ... {'checks': 3200000, 'confl': 386913, 'model_rej': 0} 4076s
    ... {'checks': 3250000, 'confl': 392738, 'model_rej': 0} 4135s
    ... {'checks': 3300000, 'confl': 395811, 'model_rej': 0} 4176s
    ... {'checks': 3350000, 'confl': 398377, 'model_rej': 0} 4213s
    ... {'checks': 3400000, 'confl': 400245, 'model_rej': 0} 4246s
    ... {'checks': 3450000, 'confl': 402350, 'model_rej': 0} 4279s
    ... {'checks': 3500000, 'confl': 404309, 'model_rej': 0} 4312s
    ... {'checks': 3550000, 'confl': 405858, 'model_rej': 0} 4346s
    ... {'checks': 3600000, 'confl': 407447, 'model_rej': 0} 4376s
    ... {'checks': 3650000, 'confl': 409127, 'model_rej': 0} 4413s
    ... {'checks': 3700000, 'confl': 414912, 'model_rej': 0} 4473s
    ... {'checks': 3750000, 'confl': 420947, 'model_rej': 0} 4535s
    ... {'checks': 3800000, 'confl': 426626, 'model_rej': 0} 4595s
    ... {'checks': 3850000, 'confl': 432695, 'model_rej': 0} 4662s
    ... {'checks': 3900000, 'confl': 437263, 'model_rej': 0} 4716s
    ... {'checks': 3950000, 'confl': 442388, 'model_rej': 0} 4773s
    ... {'checks': 4000000, 'confl': 446991, 'model_rej': 0} 4823s
    ... {'checks': 4050000, 'confl': 454108, 'model_rej': 0} 4888s
    ... {'checks': 4100000, 'confl': 460011, 'model_rej': 0} 4952s
    ... {'checks': 4150000, 'confl': 465469, 'model_rej': 0} 5011s
    ... {'checks': 4200000, 'confl': 470488, 'model_rej': 0} 5067s
    ... {'checks': 4250000, 'confl': 476481, 'model_rej': 0} 5130s
    ... {'checks': 4300000, 'confl': 480448, 'model_rej': 0} 5181s
    ... {'checks': 4350000, 'confl': 484314, 'model_rej': 0} 5235s
    ... {'checks': 4400000, 'confl': 485409, 'model_rej': 0} 5263s
    ... {'checks': 4450000, 'confl': 486568, 'model_rej': 0} 5293s
    ... {'checks': 4500000, 'confl': 487684, 'model_rej': 0} 5322s
    ... {'checks': 4550000, 'confl': 490581, 'model_rej': 0} 5365s
    ... {'checks': 4600000, 'confl': 495296, 'model_rej': 0} 5421s
    ... {'checks': 4650000, 'confl': 499903, 'model_rej': 0} 5474s
    ... {'checks': 4700000, 'confl': 503836, 'model_rej': 0} 5525s
    ... {'checks': 4750000, 'confl': 507953, 'model_rej': 0} 5589s
    ... {'checks': 4800000, 'confl': 512572, 'model_rej': 0} 5644s
    ... {'checks': 4850000, 'confl': 516722, 'model_rej': 0} 5696s
    ... {'checks': 4900000, 'confl': 520812, 'model_rej': 0} 5746s
    ... {'checks': 4950000, 'confl': 525462, 'model_rej': 0} 5799s
    ... {'checks': 5000000, 'confl': 528929, 'model_rej': 0} 5844s
    ... {'checks': 5050000, 'confl': 533513, 'model_rej': 0} 5900s
    ... {'checks': 5100000, 'confl': 539506, 'model_rej': 0} 5964s
    ... {'checks': 5150000, 'confl': 544771, 'model_rej': 0} 6024s
    ... {'checks': 5200000, 'confl': 549556, 'model_rej': 0} 6081s
    ... {'checks': 5250000, 'confl': 555151, 'model_rej': 0} 6165s
    ... {'checks': 5300000, 'confl': 559061, 'model_rej': 0} 6211s
