[q18-control-k9] n=18 m=62 cap=48 | 126 K5s, 840 K3,3s, 0 sym generators, 4553 clauses, propagator check_at=9
    ... {'checks': 50000, 'confl': 11443, 'model_rej': 0} 56s
    ... {'checks': 100000, 'confl': 22220, 'model_rej': 0} 107s
    ... {'checks': 150000, 'confl': 31717, 'model_rej': 0} 154s
    ... {'checks': 200000, 'confl': 39317, 'model_rej': 0} 193s
    ... {'checks': 250000, 'confl': 47317, 'model_rej': 0} 234s
    ... {'checks': 300000, 'confl': 55761, 'model_rej': 0} 276s
    ... {'checks': 350000, 'confl': 64858, 'model_rej': 0} 322s
    ... {'checks': 400000, 'confl': 71965, 'model_rej': 0} 361s
    ... {'checks': 450000, 'confl': 77468, 'model_rej': 0} 392s
    ... {'checks': 500000, 'confl': 84599, 'model_rej': 0} 431s
    ... {'checks': 550000, 'confl': 90423, 'model_rej': 0} 464s
    ... {'checks': 600000, 'confl': 96014, 'model_rej': 0} 497s
    ... {'checks': 650000, 'confl': 100528, 'model_rej': 0} 525s
    ... {'checks': 700000, 'confl': 108779, 'model_rej': 0} 569s
    ... {'checks': 750000, 'confl': 115360, 'model_rej': 0} 607s
    ... {'checks': 800000, 'confl': 122074, 'model_rej': 0} 646s
    ... {'checks': 850000, 'confl': 128147, 'model_rej': 0} 681s
    ... {'checks': 900000, 'confl': 135227, 'model_rej': 0} 720s
    ... {'checks': 950000, 'confl': 141568, 'model_rej': 0} 756s
    ... {'checks': 1000000, 'confl': 146352, 'model_rej': 0} 787s
    ... {'checks': 1050000, 'confl': 152163, 'model_rej': 0} 821s
    ... {'checks': 1100000, 'confl': 158752, 'model_rej': 0} 861s
    ... {'checks': 1150000, 'confl': 164566, 'model_rej': 0} 896s
    ... {'checks': 1200000, 'confl': 169015, 'model_rej': 0} 927s
    ... {'checks': 1250000, 'confl': 173893, 'model_rej': 0} 961s
    ... {'checks': 1300000, 'confl': 178310, 'model_rej': 0} 992s
    ... {'checks': 1350000, 'confl': 182517, 'model_rej': 0} 1022s
    ... {'checks': 1400000, 'confl': 186519, 'model_rej': 0} 1051s
    ... {'checks': 1450000, 'confl': 189594, 'model_rej': 0} 1076s
    ... {'checks': 1500000, 'confl': 195121, 'model_rej': 0} 1111s
    ... {'checks': 1550000, 'confl': 199457, 'model_rej': 0} 1140s
    ... {'checks': 1600000, 'confl': 204128, 'model_rej': 0} 1173s
    ... {'checks': 1650000, 'confl': 208071, 'model_rej': 0} 1202s
    ... {'checks': 1700000, 'confl': 211406, 'model_rej': 0} 1229s
    ... {'checks': 1750000, 'confl': 214981, 'model_rej': 0} 1257s
    ... {'checks': 1800000, 'confl': 218125, 'model_rej': 0} 1283s
