[q18-control-planted] n=18 m=93 cap=48 | 64 K5s, 1526 K3,3s, 0 sym generators, 11815 clauses, propagator check_at=9
    ... {'checks': 50000, 'confl': 13958, 'model_rej': 0} 112s
    ... {'checks': 100000, 'confl': 26721, 'model_rej': 0} 212s
    ... {'checks': 150000, 'confl': 39422, 'model_rej': 0} 314s
    ... {'checks': 200000, 'confl': 51079, 'model_rej': 0} 403s
    ... {'checks': 250000, 'confl': 61665, 'model_rej': 0} 488s
    ... {'checks': 300000, 'confl': 71679, 'model_rej': 0} 570s
    ... {'checks': 350000, 'confl': 83824, 'model_rej': 0} 669s
    ... {'checks': 400000, 'confl': 96301, 'model_rej': 0} 770s
    ... {'checks': 450000, 'confl': 107616, 'model_rej': 0} 857s
    ... {'checks': 500000, 'confl': 119392, 'model_rej': 0} 955s
    ... {'checks': 550000, 'confl': 130415, 'model_rej': 0} 1051s
    ... {'checks': 600000, 'confl': 142226, 'model_rej': 0} 1144s
    ... {'checks': 650000, 'confl': 151612, 'model_rej': 0} 1225s
    ... {'checks': 700000, 'confl': 160377, 'model_rej': 0} 1296s
    ... {'checks': 750000, 'confl': 167646, 'model_rej': 0} 1365s
    ... {'checks': 800000, 'confl': 176489, 'model_rej': 0} 1446s
    ... {'checks': 850000, 'confl': 185737, 'model_rej': 0} 1525s
    ... {'checks': 900000, 'confl': 196210, 'model_rej': 0} 1613s
    ... {'checks': 950000, 'confl': 204950, 'model_rej': 0} 1692s
    ... {'checks': 1000000, 'confl': 213918, 'model_rej': 0} 1771s
    ... {'checks': 1050000, 'confl': 222535, 'model_rej': 0} 1841s
    ... {'checks': 1100000, 'confl': 232419, 'model_rej': 0} 1922s
    ... {'checks': 1150000, 'confl': 242211, 'model_rej': 0} 2009s
    ... {'checks': 1200000, 'confl': 251757, 'model_rej': 0} 2087s
    ... {'checks': 1250000, 'confl': 259939, 'model_rej': 0} 2153s
    ... {'checks': 1300000, 'confl': 269637, 'model_rej': 0} 2232s
    ... {'checks': 1350000, 'confl': 279478, 'model_rej': 0} 2312s
    ... {'checks': 1400000, 'confl': 288531, 'model_rej': 0} 2387s
    ... {'checks': 1450000, 'confl': 297569, 'model_rej': 0} 2459s
# RELAUNCH Sat Aug 29 13:46:09 PDT 2026: prior run killed by session task cleanup at ~2459s; now detached
[q18-control-planted] n=18 m=93 cap=48 | 64 K5s, 1526 K3,3s, 0 sym generators, 11815 clauses, propagator check_at=9
    ... {'checks': 50000, 'confl': 13958, 'model_rej': 0} 109s
    ... {'checks': 100000, 'confl': 26721, 'model_rej': 0} 205s
    ... {'checks': 150000, 'confl': 39422, 'model_rej': 0} 303s
    ... {'checks': 200000, 'confl': 51079, 'model_rej': 0} 389s
    ... {'checks': 250000, 'confl': 61665, 'model_rej': 0} 470s
    ... {'checks': 300000, 'confl': 71679, 'model_rej': 0} 549s
    ... {'checks': 350000, 'confl': 83824, 'model_rej': 0} 644s
    ... {'checks': 400000, 'confl': 96301, 'model_rej': 0} 742s
    ... {'checks': 450000, 'confl': 107616, 'model_rej': 0} 828s
    ... {'checks': 500000, 'confl': 119392, 'model_rej': 0} 926s
    ... {'checks': 550000, 'confl': 130415, 'model_rej': 0} 1020s
    ... {'checks': 600000, 'confl': 142226, 'model_rej': 0} 1113s
    ... {'checks': 650000, 'confl': 151612, 'model_rej': 0} 1191s
    ... {'checks': 700000, 'confl': 160377, 'model_rej': 0} 1263s
    ... {'checks': 750000, 'confl': 167646, 'model_rej': 0} 1331s
    ... {'checks': 800000, 'confl': 176489, 'model_rej': 0} 1412s
    ... {'checks': 850000, 'confl': 185737, 'model_rej': 0} 1492s
    ... {'checks': 900000, 'confl': 196210, 'model_rej': 0} 1579s
    ... {'checks': 950000, 'confl': 204950, 'model_rej': 0} 1658s
    ... {'checks': 1000000, 'confl': 213918, 'model_rej': 0} 1738s
    ... {'checks': 1050000, 'confl': 222535, 'model_rej': 0} 1807s
    ... {'checks': 1100000, 'confl': 232419, 'model_rej': 0} 1889s
    ... {'checks': 1150000, 'confl': 242211, 'model_rej': 0} 1976s
    ... {'checks': 1200000, 'confl': 251757, 'model_rej': 0} 2054s
    ... {'checks': 1250000, 'confl': 259939, 'model_rej': 0} 2121s
    ... {'checks': 1300000, 'confl': 269637, 'model_rej': 0} 2200s
    ... {'checks': 1350000, 'confl': 279478, 'model_rej': 0} 2279s
    ... {'checks': 1400000, 'confl': 288531, 'model_rej': 0} 2356s
    ... {'checks': 1450000, 'confl': 297569, 'model_rej': 0} 2429s
    ... {'checks': 1500000, 'confl': 306516, 'model_rej': 0} 2509s
    ... {'checks': 1550000, 'confl': 316279, 'model_rej': 0} 2587s
    ... {'checks': 1600000, 'confl': 325504, 'model_rej': 0} 2667s
    ... {'checks': 1650000, 'confl': 334992, 'model_rej': 0} 2745s
    ... {'checks': 1700000, 'confl': 344056, 'model_rej': 0} 2820s
    ... {'checks': 1750000, 'confl': 353056, 'model_rej': 0} 2894s
    ... {'checks': 1800000, 'confl': 361006, 'model_rej': 0} 2959s
    ... {'checks': 1850000, 'confl': 368364, 'model_rej': 0} 3024s
    ... {'checks': 1900000, 'confl': 376372, 'model_rej': 0} 3101s
    ... {'checks': 1950000, 'confl': 384684, 'model_rej': 0} 3179s
    ... {'checks': 2000000, 'confl': 391689, 'model_rej': 0} 3247s
    ... {'checks': 2050000, 'confl': 398177, 'model_rej': 0} 3313s
    ... {'checks': 2100000, 'confl': 405045, 'model_rej': 0} 3375s
    ... {'checks': 2150000, 'confl': 412177, 'model_rej': 0} 3443s
    ... {'checks': 2200000, 'confl': 419260, 'model_rej': 0} 3509s
    ... {'checks': 2250000, 'confl': 426300, 'model_rej': 0} 3577s
    ... {'checks': 2300000, 'confl': 433277, 'model_rej': 0} 3641s
    ... {'checks': 2350000, 'confl': 439468, 'model_rej': 0} 3700s
    ... {'checks': 2400000, 'confl': 445927, 'model_rej': 0} 3762s
    ... {'checks': 2450000, 'confl': 452456, 'model_rej': 0} 3817s
    ... {'checks': 2500000, 'confl': 458774, 'model_rej': 0} 3873s
    ... {'checks': 2550000, 'confl': 464424, 'model_rej': 0} 3927s
    ... {'checks': 2600000, 'confl': 468914, 'model_rej': 0} 3975s
    ... {'checks': 2650000, 'confl': 474231, 'model_rej': 0} 4031s
    ... {'checks': 2700000, 'confl': 479581, 'model_rej': 0} 4083s
    ... {'checks': 2750000, 'confl': 485663, 'model_rej': 0} 4140s
    ... {'checks': 2800000, 'confl': 490573, 'model_rej': 0} 4187s
    ... {'checks': 2850000, 'confl': 495740, 'model_rej': 0} 4244s
    ... {'checks': 2900000, 'confl': 499823, 'model_rej': 0} 4289s
    ... {'checks': 2950000, 'confl': 503798, 'model_rej': 0} 4331s
    ... {'checks': 3000000, 'confl': 506165, 'model_rej': 0} 4361s
    ... {'checks': 3050000, 'confl': 509463, 'model_rej': 0} 4399s
    ... {'checks': 3100000, 'confl': 512711, 'model_rej': 0} 4436s
    ... {'checks': 3150000, 'confl': 515469, 'model_rej': 0} 4470s
    ... {'checks': 3200000, 'confl': 521274, 'model_rej': 0} 4526s
    ... {'checks': 3250000, 'confl': 529986, 'model_rej': 0} 4600s
    ... {'checks': 3300000, 'confl': 536766, 'model_rej': 0} 4667s
    ... {'checks': 3350000, 'confl': 544180, 'model_rej': 0} 4730s
    ... {'checks': 3400000, 'confl': 551741, 'model_rej': 0} 4798s
    ... {'checks': 3450000, 'confl': 559149, 'model_rej': 0} 4864s
    ... {'checks': 3500000, 'confl': 566356, 'model_rej': 0} 4926s
    ... {'checks': 3550000, 'confl': 573664, 'model_rej': 0} 4988s
    ... {'checks': 3600000, 'confl': 580118, 'model_rej': 0} 5046s
    ... {'checks': 3650000, 'confl': 586669, 'model_rej': 0} 5103s
    ... {'checks': 3700000, 'confl': 592221, 'model_rej': 0} 5157s
    ... {'checks': 3750000, 'confl': 599787, 'model_rej': 0} 5228s
    ... {'checks': 3800000, 'confl': 606922, 'model_rej': 0} 5303s
[q18-control-planted] stats: {'checks': 3844868, 'confl': 611831, 'model_rej': 0}
[q18-control-planted] SAT in 5352.8s — BIPLANAR PARTITION FOUND -> /Users/ivanspogreev/earth-moon/verifier/../population/satprop_q18-control-planted_partition.json
